normalization_mode,snr,max_persistence_mean,max_persistence_std,max_persistence_count,mean_persistence_mean,mean_persistence_std,mean_persistence_count,persistence_entropy_mean,persistence_entropy_std,persistence_entropy_count,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_count,h1_bar_count_mean,h1_bar_count_std,h1_bar_count_count,max_persistence_sem,mean_persistence_sem,persistence_entropy_sem,normalized_entropy_sem,h1_bar_count_sem
physical_scale,-5,0.6375691124584809,0.09007021296259085,40,0.17630857668292604,0.01229486072269086,40,4.34759672990679,0.07602449651316752,40,0.9303094796859763,0.005995674657591773,40,107.35,8.09415743702731,40,0.014241351114910471,0.0019439881699123479,0.012020528347456923,0.000947999401367008,1.2797986620498603
physical_scale,0,0.439897487476415,0.0678525850843132,40,0.11225082408871548,0.00997055837796862,40,4.270784089814859,0.10580640850014618,40,0.9257594269177225,0.010033351730163568,40,101.15,8.678148213199428,40,0.01072843569983989,0.001576483700902742,0.016729462095133096,0.0015864122016454004,1.3721357113115344
physical_scale,5,0.3370559272984113,0.0754039134701402,40,0.07505991911978274,0.006952772968896342,40,4.05559722719114,0.08100426314413457,40,0.9203789087549321,0.010625271826392245,40,82.175,5.781879297004405,40,0.011922405552794692,0.001099329931788174,0.012807898585954876,0.0016800029864908333,0.9141953867353542
physical_scale,10,0.3058268838926808,0.10516405746284538,40,0.050801794337049774,0.007911859308363639,40,3.6882775591648533,0.13306093447295747,40,0.8902891093082026,0.02023815894429927,40,63.3,6.699406785831959,40,0.016627897478370984,0.001250974797061679,0.021038781026248097,0.0031999338956247227,1.0592692207608425
physical_scale,15,0.37286143040545705,0.09451431255460277,40,0.04405226226134436,0.01061722949145228,40,3.0531133679536047,0.18672182505842871,40,0.7930140283691702,0.041113970443317514,40,47.275,5.439586617023628,40,0.014944024957879606,0.0016787313816850214,0.02952331280240687,0.0065006895126863,0.8600741619782354
physical_scale,20,0.41709010395588547,0.10572044676354425,40,0.04590350436074468,0.015272861402593018,40,2.3978009815683214,0.2386585109373718,40,0.6669929515470374,0.06406906269695332,40,36.625,3.9593284848926156,40,0.01671587035116882,0.00241485142101339,0.03773522387731508,0.010130208283725137,0.6260248008522117
physical_scale,25,0.4686013799158891,0.044985034274098896,40,0.061118071456908396,0.024321967161767787,40,1.8955142288891718,0.2626845093903466,40,0.5598414923767299,0.062206902374697705,40,29.725,4.966490273928424,40,0.00711275844634459,0.0038456406703503594,0.04153406778586919,0.009835774884389092,0.7852710621343695
physical_scale,30,0.47371238087396206,0.06453818053943301,40,0.07071686808070875,0.034199499876483186,40,1.5015319178884616,0.2897701857793376,40,0.48866741351966275,0.08994003868766608,40,22.125,4.575225929688314,40,0.010204382327388132,0.005407415722416701,0.04581668925364201,0.01422076875483431,0.723406737383823
shape_normalized,-5,0.3203533371253474,0.04526426872876287,40,0.08923724586316076,0.006377734165628699,40,4.366572727598253,0.05947026219209893,40,0.9331093131027351,0.007058065053402866,40,107.95,6.864811798268106,40,0.00715690929024125,0.0010084083137230125,0.009403074078721532,0.001115978072119551,1.0854220495461775
shape_normalized,0,0.31510864618887713,0.05164068092137685,40,0.08038407280857346,0.00518524020131955,40,4.281603072523852,0.08105271110305241,40,0.9272414425989988,0.007778035099840228,40,101.55,7.752418977325721,40,0.008165108581677672,0.0008198584625619901,0.01281555888086321,0.001229815331811514,1.225765067213126
shape_normalized,5,0.3040827339569667,0.06610575786307221,40,0.0673574553027846,0.00617403743492138,40,4.063131757599767,0.08384580997478112,40,0.9175503806614943,0.01095641359414776,40,84.0,6.168572124185796,40,0.010452238064944672,0.0009762010326747581,0.01325718658909867,0.00173236109721693,0.9753368911725073
shape_normalized,10,0.2736109962330314,0.08531597609990828,40,0.04780234880064613,0.0057483328210790555,40,3.67597757191135,0.11566409730629512,40,0.8928552426058269,0.023467630390351633,40,61.7,6.013659664805001,40,0.013489640263809966,0.0009088912231655486,0.018288099549761933,0.0037105581660248754,0.9508430806934258
shape_normalized,15,0.3692255421579274,0.13223838326580176,40,0.04543789959162199,0.013140157849074692,40,3.1031927011956557,0.24400849023606624,40,0.8027255232986942,0.055339897614082395,40,48.075,6.073851057333119,40,0.020908724260911445,0.002077641380860754,0.038581129878246315,0.008750006097050907,0.9603601754897305
shape_normalized,20,0.420378635730892,0.11264891901374106,40,0.045805882287820114,0.01574904763555807,40,2.4274068437712844,0.2949312068229095,40,0.6709873784023315,0.0731670609351008,40,37.75,6.542758768875124,40,0.017811358001963516,0.002490143075342646,0.04663271833112933,0.011568728112762388,1.0345009945342285
shape_normalized,25,0.4563990870607431,0.10716209720636433,40,0.0570478794632832,0.027222655694400577,40,1.896155360484984,0.4034699146991318,40,0.5611837210341,0.11047264393474553,40,29.425,4.6348042306455906,40,0.01694381530062391,0.004304279797642923,0.0637941948901553,0.017467258698729077,0.7328268938912221
shape_normalized,30,0.4934413275196502,0.02622969688599694,40,0.07716593141291106,0.03012845868620793,40,1.555173919597991,0.3628400997356561,40,0.49500311552141313,0.10634242967760148,40,23.25,4.068326689350556,40,0.004147279224778811,0.004763727591935065,0.0573700570803666,0.0168142144848753,0.6432589302000022
